.FECHA.ID_ESTACION.NOM_ESTACION.ESPECIE.ESPECIE_DES.ALTURA.DAP.TIPO.TIPO_DES.ESTADO.ESTADO_DES
1010.2000-01-24.45920.Rinconada -3.AG.Avicennia germinans.18.2.25.3.8.Tronco.6.Vivo
1017.2000-01-24.45920.Rinconada -3.AG.Avicennia germinans.17.7.29.5.8.Tronco.6.Vivo
1025.2000-01-24.45920.Rinconada -3.AG.Avicennia germinans.17.7.27.35.8.Tronco.6.Vivo
1039.2000-01-24.45920.Rinconada -3.AG.Avicennia germinans.17.7.36.6.8.Tronco.6.Vivo
2500.2014-02-12.45912.Kilómetro 22 -3.AG.Avicennia germinans.18.0.12.0.7.Rama.6.Vivo
2505.2014-02-12.45912.Kilómetro 22 -3.AG.Avicennia germinans.25.0.29.5.8.Tronco.6.Vivo
2507.2014-02-12.45912.Kilómetro 22 -3.AG.Avicennia germinans.25.0.30.0.8.Tronco.6.Vivo
2515.2014-02-12.45912.Kilómetro 22 -3.AG.Avicennia germinans.18.0.20.3.8.Tronco.6.Vivo
2538.2013-05-22.45912.Kilómetro 22 -3.AG.Avicennia germinans.23.0.30.1.8.Tronco.6.Vivo
2540.2013-05-22.45912.Kilómetro 22 -3.AG.Avicennia germinans.20.0.33.0.8.Tronco.6.Vivo
2541.2013-05-22.45912.Kilómetro 22 -3.AG.Avicennia germinans.18.0.26.8.8.Tronco.6.Vivo
2547.2013-05-22.45912.Kilómetro 22 -3.AG.Avicennia germinans.22.0.36.7.8.Tronco.6.Vivo
2549.2013-05-22.45912.Kilómetro 22 -3.AG.Avicennia germinans.20.0.27.4.8.Tronco.6.Vivo
2554.2013-05-22.45912.Kilómetro 22 -3.AG.Avicennia germinans.18.0.23.7.8.Tronco.6.Vivo
2559.2013-05-22.45912.Kilómetro 22 -3.AG.Avicennia germinans.20.0.18.4.8.Tronco.6.Vivo
2560.2013-05-22.45912.Kilómetro 22 -3.AG.Avicennia germinans.20.0.26.0.8.Tronco.6.Vivo
2562.2013-05-22.45912.Kilómetro 22 -3.LR.Laguncularia racemosa.22.0.15.8.8.Tronco.6.Vivo
2566.2013-05-22.45912.Kilómetro 22 -3.LR.Laguncularia racemosa.18.0.11.3.8.Tronco.6.Vivo
2568.2013-05-22.45912.Kilómetro 22 -3.AG.Avicennia germinans.20.0.19.4.8.Tronco.6.Vivo
2574.2013-05-22.45912.Kilómetro 22 -3.AG.Avicennia germinans.23.0.29.2.8.Tronco.6.Vivo
2576.2013-05-22.45912.Kilómetro 22 -3.AG.Avicennia germinans.20.0.30.2.8.Tronco.6.Vivo
2584.2013-05-22.45912.Kilómetro 22 -3.AG.Avicennia germinans.18.0.20.0.8.Tronco.6.Vivo
2588.2013-05-22.45912.Kilómetro 22 -3.AG.Avicennia germinans.18.0.24.9.8.Tronco.6.Vivo
2600.2013-05-22.45912.Kilómetro 22 -3.AG.Avicennia germinans.20.0.17.7.8.Tronco.6.Vivo
2604.2013-05-22.45912.Kilómetro 22 -3.LR.Laguncularia racemosa.19.0.13.2.8.Tronco.6.Vivo
2606.2013-05-22.45912.Kilómetro 22 -3.LR.Laguncularia racemosa.18.0.14.2.8.Tronco.6.Vivo
2610.2013-05-22.45912.Kilómetro 22 -3.AG.Avicennia germinans.25.0.23.7.8.Tronco.6.Vivo
2616.2013-05-22.45912.Kilómetro 22 -3.AG.Avicennia germinans.20.0.25.2.8.Tronco.6.Vivo
2618.2013-05-22.45912.Kilómetro 22 -3.AG.Avicennia germinans.18.0.31.5.8.Tronco.6.Vivo
2624.2013-05-22.45912.Kilómetro 22 -3.AG.Avicennia germinans.20.0.16.2.8.Tronco.6.Vivo
2627.2013-05-22.45912.Kilómetro 22 -3.AG.Avicennia germinans.19.0.12.7.8.Tronco.6.Vivo
2628.2013-05-22.45912.Kilómetro 22 -3.LR.Laguncularia racemosa.18.0.14.6.8.Tronco.6.Vivo
2633.2013-05-22.45912.Kilómetro 22 -3.LR.Laguncularia racemosa.18.0.11.8.8.Tronco.6.Vivo
2645.2014-09-22.45912.Kilómetro 22 -3.AG.Avicennia germinans.20.0.19.2.8.Tronco.6.Vivo
2648.2014-09-22.45912.Kilómetro 22 -3.LR.Laguncularia racemosa.22.0.16.1.8.Tronco.6.Vivo
2650.2014-09-22.45912.Kilómetro 22 -3.LR.Laguncularia racemosa.17.0.15.9.8.Tronco.6.Vivo
2652.2014-09-22.45912.Kilómetro 22 -3.LR.Laguncularia racemosa.18.0.11.5.8.Tronco.6.Vivo
2657.2014-09-22.45912.Kilómetro 22 -3.AG.Avicennia germinans.20.0.17.8.8.Tronco.6.Vivo
2661.2014-09-22.45912.Kilómetro 22 -3.LR.Laguncularia racemosa.20.0.13.5.8.Tronco.6.Vivo
2663.2014-09-22.45912.Kilómetro 22 -3.LR.Laguncularia racemosa.19.0.14.2.8.Tronco.6.Vivo
2673.2014-09-22.45912.Kilómetro 22 -3.AG.Avicennia germinans.20.0.25.2.8.Tronco.6.Vivo
2674.2014-09-22.45912.Kilómetro 22 -3.AG.Avicennia germinans.19.0.31.6.8.Tronco.6.Vivo
2675.2014-09-22.45912.Kilómetro 22 -3.LR.Laguncularia racemosa.19.0.14.6.8.Tronco.6.Vivo
2679.2014-09-22.45912.Kilómetro 22 -3.AG.Avicennia germinans.25.0.23.4.8.Tronco.6.Vivo
2680.2014-09-22.45912.Kilómetro 22 -3.LR.Laguncularia racemosa.18.0.12.0.8.Tronco.6.Vivo
2856.2006-03-01.45914.Rinconada -1.AG.Avicennia germinans.17.6.12.0.7.Rama.6.Vivo
3010.2015-03-04.45914.Rinconada -1.AG.Avicennia germinans.18.0.42.5.8.Tronco.6.Vivo
3012.2015-03-04.45914.Rinconada -1.AG.Avicennia germinans.20.0.21.8.8.Tronco.6.Vivo
3015.2015-03-04.45914.Rinconada -1.AG.Avicennia germinans.18.0.28.8.8.Tronco.6.Vivo
3016.2015-03-04.45914.Rinconada -1.AG.Avicennia germinans.23.0.34.0.8.Tronco.6.Vivo
3037.2015-03-06.45914.Rinconada -1.LR.Laguncularia racemosa.18.0.15.2.8.Tronco.6.Vivo
3038.2015-03-06.45914.Rinconada -1.AG.Avicennia germinans.22.0.26.7.8.Tronco.6.Vivo
3044.2015-03-06.45914.Rinconada -1.LR.Laguncularia racemosa.18.0.12.7.7.Rama.6.Vivo
3046.2015-03-06.45914.Rinconada -1.LR.Laguncularia racemosa.18.0.16.0.7.Rama.6.Vivo
3048.2015-03-06.45914.Rinconada -1.LR.Laguncularia racemosa.18.0.17.4.7.Rama.6.Vivo
3065.2015-03-06.45914.Rinconada -1.AG.Avicennia germinans.20.0.14.0.8.Tronco.6.Vivo
3081.2015-03-06.45914.Rinconada -1.LR.Laguncularia racemosa.18.0.15.8.8.Tronco.6.Vivo
3084.2015-03-06.45914.Rinconada -1.LR.Laguncularia racemosa.18.0.10.2.8.Tronco.6.Vivo
3085.2015-03-06.45914.Rinconada -1.LR.Laguncularia racemosa.17.0.12.2.8.Tronco.6.Vivo
3088.2015-03-06.45914.Rinconada -1.LR.Laguncularia racemosa.18.0.10.0.8.Tronco.6.Vivo
3097.2015-03-06.45914.Rinconada -1.LR.Laguncularia racemosa.17.0.19.8.8.Tronco.6.Vivo
3104.2015-03-06.45914.Rinconada -1.AG.Avicennia germinans.18.0.13.3.8.Tronco.6.Vivo
3105.2015-03-06.45914.Rinconada -1.AG.Avicennia germinans.20.0.17.7.8.Tronco.6.Vivo
3106.2015-03-06.45914.Rinconada -1.LR.Laguncularia racemosa.20.0.15.1.8.Tronco.6.Vivo
3107.2015-03-06.45914.Rinconada -1.AG.Avicennia germinans.20.0.22.1.8.Tronco.6.Vivo
3109.2015-03-06.45914.Rinconada -1.LR.Laguncularia racemosa.20.0.10.8.8.Tronco.6.Vivo
3572.2005-06-21.45914.Rinconada -1.LR.Laguncularia racemosa.18.2.9.0.8.Tronco.6.Vivo
3610.2013-05-23.45914.Rinconada -1.AG.Avicennia germinans.18.0.42.6.8.Tronco.6.Vivo
3613.2013-05-23.45914.Rinconada -1.AG.Avicennia germinans.18.0.21.8.8.Tronco.6.Vivo
3616.2013-05-23.45914.Rinconada -1.AG.Avicennia germinans.18.0.27.7.8.Tronco.6.Vivo
3617.2013-05-23.45914.Rinconada -1.AG.Avicennia germinans.22.0.32.3.8.Tronco.6.Vivo
3621.2013-05-23.45914.Rinconada -1.AG.Avicennia germinans.21.0.25.5.8.Tronco.6.Vivo
3627.2013-05-23.45914.Rinconada -1.LR.Laguncularia racemosa.18.0.12.2.7.Rama.6.Vivo
3629.2013-05-23.45914.Rinconada -1.LR.Laguncularia racemosa.18.0.15.2.7.Rama.6.Vivo
3631.2013-05-23.45914.Rinconada -1.LR.Laguncularia racemosa.18.0.17.2.7.Rama.6.Vivo
3652.2013-05-23.45914.Rinconada -1.AG.Avicennia germinans.19.0.13.9.8.Tronco.6.Vivo
3691.2013-05-23.45914.Rinconada -1.LR.Laguncularia racemosa.18.0.15.3.8.Tronco.6.Vivo
3698.2013-05-23.45914.Rinconada -1.LR.Laguncularia racemosa.18.0.10.0.8.Tronco.6.Vivo
3702.2013-05-23.45914.Rinconada -1.LR.Laguncularia racemosa.18.0.9.2.8.Tronco.6.Vivo
3706.2013-05-23.45914.Rinconada -1.LR.Laguncularia racemosa.18.0.13.6.8.Tronco.6.Vivo
3720.2013-05-23.45914.Rinconada -1.LR.Laguncularia racemosa.17.0.15.8.8.Tronco.6.Vivo
3729.2013-05-23.45914.Rinconada -1.AG.Avicennia germinans.18.0.13.0.8.Tronco.6.Vivo
3730.2013-05-23.45914.Rinconada -1.AG.Avicennia germinans.20.0.15.3.8.Tronco.6.Vivo
3731.2013-05-23.45914.Rinconada -1.LR.Laguncularia racemosa.20.0.14.3.8.Tronco.6.Vivo
3732.2013-05-23.45914.Rinconada -1.AG.Avicennia germinans.19.0.21.1.8.Tronco.6.Vivo
3734.2013-05-23.45914.Rinconada -1.LR.Laguncularia racemosa.19.0.10.4.8.Tronco.6.Vivo
3770.2014-09-24.45914.Rinconada -1.AG.Avicennia germinans.18.0.43.5.8.Tronco.6.Vivo
3773.2014-09-24.45914.Rinconada -1.AG.Avicennia germinans.20.0.21.9.8.Tronco.6.Vivo
3776.2014-09-24.45914.Rinconada -1.AG.Avicennia germinans.18.0.28.8.8.Tronco.6.Vivo
3777.2014-09-24.45914.Rinconada -1.AG.Avicennia germinans.23.0.33.9.8.Tronco.6.Vivo
